title,info
"
約束のネバーランド
",母と慕う彼女は親ではない。 共に暮らす彼らは兄弟ではない。 ここグレイス＝フィールドハウスは小さな孤児院。 至って平穏なこのハウスでささやかながらも幸せな毎日を 送る三人の主人公エマ、ノーマ...
"
モブサイコ100II
",霊幻新隆が営む「霊とか相談所」にかかってきた、一本の電話。依頼主は畑に現れた不気味な黒い影の正体を突き止めてほしいというのだが……。一方、モブが通う塩中学校では、生徒会長を務める神室がいきな...
"
かぐや様は告らせたい～天才たちの恋愛頭脳戦～
","将来を期待されたエリートたちが集う名門校・『秀知院学園（しゅうちいんがくえん）』。

その生徒会のメンバーである副会長・四宮かぐやと会長・白銀御行はお互いに惹かれ合っているものの、高すぎるプ..."
"
どろろ
",戦国時代の北陸や能登半島を舞台に、妖怪から自分の身体を取り返す旅をする少年・百鬼丸と、泥棒の子供・どろろ。この2人の妖怪との戦いや、乱世の時代の人々との事件を描く。
"
盾の勇者の成り上がり
",大学生の岩谷尚文は盾の勇者として異世界に召喚された。そこには、剣の勇者・天木錬、弓の勇者・川澄樹、槍の勇者・北村元康も召喚されていた。4人は国王より波から世界を守ることを命ぜられ、それぞれの...
"
賭ケグルイ××
","良家の子女が集う名門、私立百花王学園。
ギャンブルで支配されたこの学園の頂点に君臨するのは、
弱者の人生を支配し、政財界にすら影響力を持つ絶対的な支配者、生徒会だった。
しかし、生徒会長の桃..."
"
五等分の花嫁
",学業の成績が揃って悪い五つ子のヒロインたちが、同級生ながら家庭教師を務めることになった主人公と交流を深めていく。 
"
スパイダーマン: スパイダーバース
",ニューヨーク・ブルックリン。マイルス・モラレスは、頭脳明晰で名門私立校に通う中学生。彼はスパイダーマンだ。しかし、その力を未だ上手くコントロール出来ずにいた。そんなある日、何者かにより時空が...
"
ブギーポップは笑わない
","竹田啓司は、同じ学校の後輩でもある恋人の宮下藤花を待っていた。
しかし約束の時間が過ぎても彼女は現れず、連絡も通じない。
日も暮れ始め、あきらめて帰ろうとした竹田の視界に涙を流しながらふらふ..."
"
BanG Dream! 2nd Season
","高校2年生になった香澄たちPoppin'Partyは、生徒会や家の手伝い、塾やバイトで大忙し。
5人で一緒に居られる時間が少なくなり、拠点である蔵にもなかなか集まれない。
そんな彼女たちのも..."
"
バーチャルさんはみている
",あのVTuberたちが、みんなのお茶の間の前で大暴れ!?
"
ケムリクサ
","赤い霧に包まれた、
荒廃した建造物に囲まれた人気の無い世界を舞台に
３人の姉妹が生き抜く物語。
物語の中心的人物でまとめ髪の特徴的なりん、
猫耳でいつもおっとりしているお姉さんキャラのりつ、..."
"
ドメスティックな彼女
",高校生・夏生は明るくて人気者の教師・陽菜にかなわぬ恋をしていた。だが、合コンで出会った陰のある少女・瑠衣と関係をもってしまう。そんなとき、父が再婚することに。相手が連れてきた子供が、なんと陽...
"
revisions リヴィジョンズ
","7年前のあの日、彼女は言った。
俺たちにいつか大変な危機が訪れる。
みんなを守れるのは俺だけだと。
誰も予言を信じていないけど、俺は毎日トレーニングして、
常に大事な仲間を守ってる。
そんな..."
"
荒野のコトブキ飛行隊
",荒野を舞台に、飛行機を駆る用心棒集団「コトブキ飛行隊」の活躍を描いたオリジナルアニメ
"
けものフレンズ2
","ある日ひ、フレンズのサーバルとカラカルは、森もりの中なかでヒトの子供こどもと出会であいます。
お腹なかを空すかしたヒトの子供こどもはなにやら困こまっているようで、サーバルたちは一緒いっしょに..."
"
私に天使が舞い降りた!
",大学生の星野みやこはある日、小学5年生になる妹のひなたが連れてきたクラスメイトの白咲花に一目惚れをした。みやこは何とかして花と仲良くなろうと画策するが、重度の人見知りである彼女の不器用な行動...
"
グリムノーツ The Animation
","人々が「運命の書」によって決められた生き方を定められた世界。そんな世界に住む少年エクスの運命の書には運命が何も書かれていなかった。

隣に住む幼馴染の少女――「シンデレラ」が妖精に見初められ..."
"
スター☆トゥインクルプリキュア
",主人公・星奈ひかるは宇宙と星座が大好きな中学2年生。星空を観察しノートに星座を描いていた時、謎の生物・フワが突然やって来た。その後、空からロケットが落ちて宇宙人・ララとプルンスもやって来た。...
"
上野さんは不器用
",とある中学校の理科室が主な舞台。科学部の部長である 上野 は意中の後輩である 田中 に想いを告げるため、彼女自らの発明品を駆使して遠回しに不器用な告白を試みるも、鈍感すぎる田中のせいでいつも...
"
同居人はひざ、時々、頭のうえ。
",ミステリー作家の青年朏素晴は、両親の墓参りをしていた際に出会った野良猫から新作の着想を得て、その後も連載の参考とするために猫を家で飼い始める。素晴は、陽と名付けた猫が取る行動の意味を読み取る...
"
魔法少女特殊戦あすか
",謎の生物・地冥界(ディスアス)の侵攻によって危機に瀕していた人類は、不思議な魔法の力を得た魔法少女達の活躍によって救われた…。そして3年後、それぞれの生活に戻った彼女達に、その日常を切り裂く...
"
えんどろ～!
",キャッチコピーは「ありそでなかった日常系ファンタジー、はじまるよ〜！」
"
エガオノダイカ
",地球より数万光年先にある星を舞台に、王国の王女であるユウキ・ソレイユと、軍人であるステラ・シャイニングの物語を描く。
"
明治東亰恋伽
","主人公・綾月芽衣は現代を生きる女子高生。しかし、赤い満月の夜に謎の奇術師・チャーリーのマジックによって明治時代の""東亰""へタイムスリップしてしまう。

芽衣はチャーリーによって鹿鳴館まで連れ..."
"
不機嫌なモノノケ庵 續
","現世にとどまる妖怪たちを、本来彼らが棲むべき“隠世かくりよ”へと送り届けることを生業としている “物怪庵もののけあん”―。　
その物怪庵の主・安倍晴齊あべの はるいつきと、奉公人アルバイト・..."
"
ぱすてるメモリーズ
",今から少し未来の20XX年、かつては「オタクの聖地」と呼ばれた街「アキハバラ」は、なぜかオタク文化が衰退してしまった。オタクショップ「うさぎ小屋本舗」の店長は、店に集う多様な才能を持つ女の子...
"
みにとじ
","折神紫を倒したことで注目される可奈美たちを観察するミルヤ。
仲のよい可奈美たちを真似て、調査隊のチームワーク向上の特訓を始めるが･･･"
"
W'z 《ウィズ》
","誰かに何かを伝えたい。
認められたい、必要とされたい。
けど、傷つくのは怖い。
どこか噛み合わない日常……

ある日、視聴数を稼ぎたくてやったことが、
取り返しのつかないことになってしまった..."
"
B-PROJECT～絶頂＊エモーション～
","JAPANドームライブを無事に終えて、それぞれの仕事に邁進し、忙しい日々を過ごしているB-PROJECTとつばさ。
そんな中、つばさはダイコク・プロダクション社長の大黒篤志に呼び出されて、B..."
"
ガーリー・エアフォース
",突如出現した謎の飛翔体、ザイ。それは、人類の航空戦力を圧倒した。彼らに対抗すべく開発されたのが、既存の機体に改造を施したドーターと呼ばれる兵器。操るのは、アニマという操縦機構。それは──少女...
