title,info
"
SPY×FAMILY
","人はみな　誰にも見せぬ自分を　持っている――

世界各国が水面下で熾烈な情報戦を繰り広げていた時代。東国と西国は、十数年間にわたる冷戦状態にあった。

西国の情報局対東課〈WISE〉所属であ..."
"
パリピ孔明
","渋谷で出会った月見英子の歌に心を奪われた諸葛孔明は、英子の軍師として仕える。
そして・・・。
天才軍師の圧倒的無双を誇る知略計略が音楽シーンに新たな伝説を誕生させる。"
"
サマータイムレンダ
",網代慎平は幼馴染・小舟潮の訃報を聞き、葬儀に参列するために2年ぶりに生まれ育った故郷・日都ヶ島（ひとがしま）に戻る。潮は海の事故で亡くなったと聞いていたが、居合わせた親友の話では潮の死には不...
"
ラブライブ!虹ヶ咲学園スクールアイドル同好会(第2期)
",無事スクールアイドルフェスティバルをやり遂げた同好会のメンバーたちは、みんなの期待に背を押され、早速第２回のフェスティバルを企画していた。きたる虹ヶ咲学園のオープンキャンパスで告知PVを公開...
"
アオアシ
",愛媛に暮らす中学生・青井葦人（アシト）は、弱小サッカー部のエース。中学最後の県大会、アシトの活躍によりチームはベスト4へと迫るが、相手チームのゴールキーパーによる挑発に激昂したアシトはレッド...
"
かぐや様は告らせたい-ウルトラロマンティック-
","秀才たちが集うエリート校・秀知院学園
その生徒会で出会った副会長・四宮かぐやと生徒会長・白銀御行

誰もがお似合いだと認める2人の天才は、
すぐに結ばれるのかと思いきや
高すぎるプライドが邪..."
"
トモダチゲーム
","高校生・片切友一は、友人の美笠天智、沢良宜志法、四部 誠、心木ゆとりとともに、慎ましくも充実した日常を送っていた。
ある日、クラスで集めた修学旅行費200万円が盗まれる事件が発生。さまざまな..."
"
まちカドまぞく 2丁目
",さらに町に潜む新たな魔族も登場し、シャミ子たちの行く末やいかに──。
"
TIGER & BUNNY2
","鏑木・T・虎徹とバーナビー・ブルックス Jr.は、今日も平和のため、そして所属企業「アポロンメディア」のイメージアップのためにヒーロー活動を続けていた。
シュテルンビルト発祥の“ヒーローシス..."
"
可愛いだけじゃない式守さん
",不幸体質の男子高校生・和泉は同級生の式守とつきあっている。普段の式守は可愛くて優しいが、和泉に訪れた危機や彼の言動に反応して男前なイケメン彼女に変身する
"
バブル
",キャッチコピーは「重力は壊れた、好きに跳べ。」
"
ダンス・ダンス・ダンスール
",幼少期にバレエを諦めた中学2年生の村尾潤平は、「男らしく」あろうとジークンドーに精を出していた。そんなある日、潤平の“跳び蹴り”を見たクラスメイト・五代都から、一緒にバレエをやろうと誘われる...
"
本好きの下剋上 司書になるためには手段を選んでいられません(第3期)
",秋の終わり。マインは聖典絵本を量産して売り出したり、鍛冶職人見習いのヨハンにパトロンになって欲しいと頼まれたり、次の目標へ向けて精力的に本作りに取り組んでいた。だがそんな中、インク協会会長の...
"
ヒロインたるもの!～嫌われヒロインと内緒のお仕事～
",陸上を続ける為、田舎から上京し一人暮らしを始める桜丘高校1年の涼海ひより。無事入学式を終え、樹里や千鶴という友達ができる。順調にみえた新生活の矢先、家庭の事情で仕送りがストップしてしまい、ア...
"
カッコウの許嫁
",名門・私立目黒川学園に通っている海野凪は、産まれて16年越しに「取り違え子」の事実を知らされる。本当の両親に会いに行く途中、これから許嫁に会いに行くという天野エリカと偶然出会い、彼氏のフリを...
"
であいもん
",舞台は京都の和菓子屋「緑松」。1人息子の納野和は、大学卒業後に家を飛び出して10年間東京で暮らしていたが、実家からの手紙で父が入院したことを知らされ、店を継ぐ決心をして実家に戻る。ところが、...
"
阿波連さんははかれない
",とある高校に通う阿波連れいな は、人との距離をはかるのが苦手。入学して隣の席になった ライドウ は彼女と距離を感じていた。ある日、れいなが落とした消しゴムを拾ったことをきっかけに、ライドウは...
"
ヒーラー・ガール
",高校１年生のかな、玲美、響はヒーラーの見習い。彼女たちは学校が終わると、烏丸音声治療院で一人前のヒーラーになるための修行に励んでいた。そんなある日、師匠の理彩が学会に出かけた夜、患者のおばあ...
"
乙女ゲー世界はモブに厳しい世界です
",プレイしていた「乙女ゲー」の世界に転生し、貧乏男爵家の三男として生きることになったリオン。モブらしくそれなりの幸せを目指そうとするが、酷い縁談が舞い込んでくる。
"
群青のファンファーレ
","競馬学校、騎手課程。
夢に向かって突き進む少年たちの
ひりひりと煌めく3年間の物語"
"
スプリガン
","富士山麓の樹海で古代遺跡“火の社”が発見された。
遺跡内の文字を解読すべくアーカムは言語学の天才・山菱理恵を米国より招聘するが、“火の社”に秘められた力を狙う二大国から特殊部隊を差し向けられ..."
"
キングダム(第4シリーズ)
",
"
このヒーラー、めんどくさい
","世のため人のため、冒険の旅を行く戦士アルヴィン。

魔獣と戦闘中、ダークエルフのヒーラー、カーラが通りかかった。
だが手助けを頼むと、カーラは
「人に助けを求めるのなら、ひざまずいて額と両手..."
"
勇者、辞めます
",剣術や魔術、様々な技術に精通する勇者に敗れ、再起を図る魔王軍のもとを、かつて勇者だったレオが訪れる。単独で魔王軍を倒した最強さを危険視され、人間の国から追放されていたレオは、戦後の様々な問題...
"
盾の勇者の成り上がり Season 2
",尚文が次の「波」への準備を進めていると、謎の魔物たちが現れ、同時に「波」へのカウントダウンが停止してしまう。急遽、ミレリアから呼び出された四聖勇者たちは、伝説の魔物「霊亀」が復活したことを告...
"
BIRDIE WING -Golf Girls' Story-
","虹色の弾丸≪レインボー・バレット≫のイヴと、
プレッシャーとは無縁の、ゴルフを純粋に楽しむ≪無邪気な暴君≫、葵。
２人は惹かれ合い、影響され、変わってゆく――。
才能と才能がぶつかり合う、ゴ..."
"
恋は世界征服のあとで
",世界平和のために戦うヒーロー戦隊のリーダー・レッドジェラートこと相川不動と、世界征服を企む悪の組織の戦闘員リーダー・死神王女こと禍原デス美。実はこの二人、世間には内緒で恋人同士なのである!!...
"
くノ一ツバキの胸の内
",男子禁制である「あかね組」の里で繰り広げられるくノ一たちの日常譚。
