title,info
"
ピンポン
",ペコとスマイルの、片瀬高校卓球部に所属する幼馴染の2人が主人公。ペコは卓球は強いが自分の才能に自惚れているところがあり、先輩に対しても挑発的である。スマイルは、決して笑わないことからペコが「...
"
魔法科高校の劣等生
",かつて「超能力」と呼ばれていた先天的に備わる能力が「魔法」という名前で体系化され、強力な魔法技能師は国の力と見なされるようになった。20年続いた第三次世界大戦が終結してから35年が経つ西暦2...
"
ノーゲーム･ノーライフ
",『　　』（くうはく）――それはあらゆるゲームで連勝を重ね、どんな手段を使っても勝てないとされる天才ゲーマーの名前だ。あらゆるゲームで無敗の記録を持つことから一部では都市伝説とされている。その...
"
一週間フレンズ。
",高校生・祐樹はクラスメイトの香織と仲良くなりたいと思い彼女に近づこうとする。しかし彼女はそれを拒んだ。その理由は「私、1週間で友達との記憶を失くしてしまうの…」。だがそれでも祐樹はひたむきに...
"
僕らはみんな河合荘
",親の転勤で「一人暮らし」をすることとなった男子高校生・宇佐は「河合荘」という賄い（食事）付の下宿に住むこととなった。そこには彼にとって憧れの先輩である女子高生・律も住んでおり、宇佐は「彼女と...
"
ハイキュー!!
",バレーボールで「小さな巨人」を目指す日向翔陽は、中学最初で最後の公式戦で、「コート上の王様」と呼ばれる天才・影山飛雄に惨敗する。しかし新たな目標を見つけた日向は、影山にリベンジするべく、烏野...
"
極黒のブリュンヒルデ
",一度見聞きしたことを忘れない特殊能力を持つ優等な高校生・村上良太は、子供の頃に事故で死なせてしまった幼馴染の少女・クロネコのことが忘れられず、彼女と交わした宇宙人の存在を証明するという約束を...
"
龍ヶ嬢七々々の埋蔵金
",八真重護は、父親に勘当されて人工学園島《七重島》を訪れたことに伴い、安アパートを借りることにした。そのアパートには、そこで殺された少女の地縛霊・龍ヶ嬢七々々が住み着いていた。そして、七々々が...
"
シドニアの騎士
",太陽系が奇居子（ガウナ）と呼ばれる謎の生命体によって破壊されてから1000年後の世界。人類の繁殖と生産を維持しながら宇宙を旅する播種船・シドニアに暮らす主人公、谷風長道が人型兵器「衛人」の操...
"
メカクシティアクターズ
",引き篭もりの青年・如月伸太郎（きさらぎ しんたろう）は、パソコンに居ついている電脳少女・エネのいたずらのせいでマウスとキーボードを故障させてしまい、換えの品を購入するために止むを得ずエネと共...
"
ラブライブ!2期
",東京都千代田区にある、ごくありふれた女子高校の「音ノ木坂学院」（おとのきざかがくいん）。地域の人々の想い出に育まれた歴史と伝統あるこの学院も時代の流れには勝てず、3年後に迫る学校統廃合の危機...
"
selector infected WIXOSS
",巷ではカードゲーム「WIXOSS」が中高生の間で人気となっていた。しかし、実はその中でも特別な「ルリグカード」を持つ者は「セレクター」と呼ばれ、普通の人間には気づかれないフィールドでカードバ...
"
悪魔のリドル
",ミョウジョウ学園に存在する、特別な時期にしか開講されないクラス・10年黒組。そこに、1人の女子高生を暗殺するべく12人の女子高生が刺客として集められた。10年黒組へ編入した東兎角は、暗殺対象...
"
それでも世界は美しい
",雨を降らせる能力を持つ「雨の公国」の第四公女・ニケ・ルメルシエ（ニケ）。ジャンケンで負けてしまった彼女は嫌々ながらも国のため、「晴れの大国」の太陽王・リヴィウス一世（リビ）に嫁ぐことに。しか...
"
マンガ家さんとアシスタントさんと
","主人公で漫画家の「愛徒勇気」とアシスタントの「足須沙穂都」との日常生活をゆるりと描く、爆笑マンガ家コメディー。
政治的判断で、キャラクターは年を取らない。"
