title,info
"
モブサイコ100
",主人公のモブこと影山茂夫は、超能力を持ちながらも生きていく上でそれは不要だと考える目立たない中学生。勉強もスポーツも出来ず、人付き合いも出来ない不器用な彼を取り巻く様々な人物や出来事を描く。
"
ラブライブ!サンシャイン!!
",静岡県沼津市内浦にある、女子高校の「浦の星女学院」（うらのほしじょがくいん）。この学校は全校生徒が100人にも満たないことから、学校を盛り上げるためにスクールアイドルを結成することになった。
"
君の名は。
",1200年ぶりという彗星の接近が1か月後に迫ったある日、山深い岐阜県飛騨地方の田舎町糸守に暮らす女子高生の宮水三葉は、自分が東京の男子高校生になった夢を見る。日頃から田舎の小さな町に窮屈し、...
"
テイルズ オブ ゼスティリア ザ クロス
",天族の杜イズチの住人に拾われ、慈しまれて育った人間の青年スレイ。彼の楽しみは社の近くの古代遺跡を探検すること。ある日、遺跡探検中に幼馴染みのミクリオを助けようとして、崩落に巻き込まれてしまっ...
"
91Days
","禁酒法時代、マフィアが牛耳る街「ローレス」。そんな街に住む少年・アンジェロは、ある日マフィアによって両親と弟を皆殺しにされる。
それから7年後、アンジェロはアヴィリオと名を変え暮らしていた。..."
"
ベルセルク(2016)
",身の丈を超える巨大な剣や大砲を仕込んだ義手など様々な武器を手に、ひとりゴッド・ハンドを探し出す旅を続ける「黒い剣士」ガッツ。行き掛かり上共に旅をすることになった妖精パックと共に、各地で人々を...
"
甘々と稲妻
",半年前に妻を亡くした高校教師犬塚公平は男手ひとつで幼い娘つむぎを育てていたが料理が一切できず出来合いの食事や外食ばかりの日々を送っていた。ある日、つむぎと出かけたお花見で母にドタキャンされ泣...
"
SERVAMP -サーヴァンプ-
",「シンプル」がモットーの高校1年生・城田真昼は、ある日道端で1匹の黒猫を拾い「クロ」と名付ける。だが、その猫はサーヴァンプという、契約した主人の言うことを聞く吸血鬼だった。契約によってクロの...
"
クオリディア・コード
",人類の敵・アンノウンと戦争を続ける世界で、東京・神奈川・千葉を舞台に、アンノウンから国を護るために戦いを繰り広げる少年少女達の物語。
"
ツキウタ。
","「Six Gravity（グラビ）」と「Procellarum（プロセラ）」は人気急上昇中の
アイドルユニット。
グラビとプロセラの握手会が開かれることになり、
開場時間までそれぞれ思い思い..."
