title,info
"
少女☆歌劇 レヴュースタァライト
",愛城華恋は舞台で生きてゆくことを夢みる舞台少女。聖翔音楽学園でレッスンに励む彼女の元に転入生がやってきた。神楽ひかり。彼女こそ幼い日に別れた華恋の幼馴染みで、憧れの舞台「スタァライト」に一緒...
"
ハイスコアガール
","俺より強いGIRLに会いに行く──。

「ポリゴン」って何？食えんの？そんな2D全盛期だった古き良き格ゲーブーム到来の1991年。
ヤンキーとオタクとリーマンが蔓延る場末のゲーセンに、彼女は..."
"
BANANA FISH
","ニューヨーク。並外れて整った容姿と、卓越した戦闘力を持つ少年・アッシュ・リンクスは、17歳にしてストリート・ギャングをまとめ上げていた。
ある夜、アッシュは自身の手下によって銃撃された男から..."
"
はねバド!
",県立北小町高校バドミントン部のコーチになった立花健太郎。部員数が足りず団体戦にも出られない部を立て直せないかと悩む中、校庭の大木を難なく駆け上る運動神経抜群の少女「羽咲綾乃」を見つけ、なんと...
"
はたらく細胞
",ここは、とある「ヒト」の体内。新米の赤血球「AE3803」は、肺へ二酸化炭素を運搬しなければならなかったが、迷子となる。そこへ床（血管内皮細胞）を突き破り、肺炎球菌が出現する。街（体内）を襲...
"
あそびあそばせ
",さまざまな遊びに興じる「遊び人研究会」（通称あそ研）で活動する3人の女子中学生たちの日常を描いたギャグ漫画。作品コンセプトは「美少女×お遊戯コメディ」。可愛らしい絵柄とそこからことごとく離れ...
"
進撃の巨人 Season3
","巨人の正体は何なのか？
何故、壁の中に巨人が埋まっていたのか？
巨人化したエレン・イェーガーが持つ「座標」の力とは？
そして、ヒストリア・レイスはこの世界の何を知るのか？

エレンら104期..."
"
殺戮の天使
",「俺がお前を殺す…だからお前は他の奴に殺させない」少女と殺人鬼は狂った約束を交わし、謎の廃ビル地下から決死の逃避行に発った…!
"
ハッピーシュガーライフ
",松坂さとうには、好きな人がいます。 その人と触れ合うと、とても甘い気持ちになるのです。 きっとこれが「愛」なのね。彼女はそう思いました。 この想いを守るためなら、どんなことも許される。 
"
ペンギン・ハイウェイ
","少し不思議で、
一生忘れない、あの夏が始まる。"
"
未来のミライ
","小さな庭から時をこえる旅へ―
それは過去から未来へつながる、家族と命の物語。"
"
ぐらんぶる
",海が近くにある大学への進学を機に、おじが経営するダイビングショップ「グランブルー」に居候することになった北原伊織。そこで出会ったのはとびきりの美女、そして酒とスキューバダイビングと裸を愛する...
"
プラネット・ウィズ
","「おれは、おれが味方したい人達の味方だ。そんだけだ！」
過去の記憶を失いながらも、平穏に暮らしていた高校生・黒井宗矢。だがある日、
世界は謎の巨大兵器「ネビュラウェポン」に突如襲われる。
猫..."
"
はるかなレシーブ
",沖縄の海岸を舞台に、ビーチバレーの初心者だが長身でおおらかな性格の大空遥と、小柄なために一度はビーチバレーを挫折した過去を引きずる比嘉かなたの「はるかな」ペアを中心に、ビーチバレーに情熱を捧...
"
Back Street Girls －ゴクドルズ－
",不始末の落とし前として性転換と全身整形手術をさせられ、地下アイドル「ゴクドルズ」としてデビューした極道3人組を描く。
"
ちおちゃんの通学路
",自称「中の下」を行く女子高生のちおちゃんこと三谷裳ちおは、自宅から学校まで徒歩通学している。しかしその登校途中には、思わぬ通行止め、微妙な距離感の同級生との遭遇から、道をふさぐ暴走族など、あ...
"
君の膵臓をたべたい
",「君の膵臓をたべたい」……主人公である「僕」が病院で偶然拾った1冊の「共病文庫」というタイトルの文庫本。それは「僕」のクラスメイトである山内桜良が綴っていた、秘密の日記帳であり、彼女の余命が...
